CAMPO,DESCRIPCION,TIPO_DATO,LONGITUD,RANGO_VALIDO,METADATOS
CD_A,Ciudad autorrepresentada,Varchar,2,[01-43],Ciudad autorrepresentada
,,,,01,México
,,,,02,Guadalajara
,,,,03,Monterrey
,,,,04,Puebla
,,,,05,León
,,,,07,San Luis Potosí
,,,,08,Mérida
,,,,09,Chihuahua
,,,,10,Tampico
,,,,12,Veracruz
,,,,13,Acapulco
,,,,14,Aguascalientes
,,,,15,Morelia
,,,,16,Toluca
,,,,17,Saltillo
,,,,18,Villahermosa
,,,,19,Tuxtla Gutiérrez
,,,,21,Tijuana
,,,,24,Culiacán
,,,,25,Hermosillo
,,,,26,Durango
,,,,27,Tepic
,,,,28,Campeche
,,,,29,Cuernavaca
,,,,31,Oaxaca
,,,,32,Zacatecas
,,,,33,Colima
,,,,36,Querétaro
,,,,39,Tlaxcala
,,,,40,La Paz
,,,,41,Cancún
,,,,43,Pachuca
PER,Periodo,Varchar,4,[0001-9999],Periodo de levantamiento
ENT,Entidad,Varchar,2,[01-32],Entidad
,,,,01,Aguascalientes
,,,,02,Baja California
,,,,03,Baja California Sur
,,,,04,Campeche
,,,,05,Coahuila de Zaragoza
,,,,06,Colima
,,,,07,Chiapas
,,,,08,Chihuahua
,,,,09,Distrito Federal
,,,,10,Durango
,,,,11,Guanajuato
,,,,12,Guerrero
,,,,13,Hidalgo
,,,,14,Jalisco
,,,,15,México
,,,,16,Michoacán de Ocampo
,,,,17,Morelos
,,,,18,Nayarit
,,,,19,Nuevo León
,,,,20,Oaxaca
,,,,21,Puebla
,,,,22,Querétaro
,,,,23,Quintana Roo
,,,,24,San Luis Potosí
,,,,25,Sinaloa
,,,,26,Sonora
,,,,27,Tabasco
,,,,28,Tamaulipas
,,,,29,Tlaxcala
,,,,30,Veracruz de Ignacio de la Llave
,,,,31,Yucatán
,,,,32,Zacatecas
CON,Control,Varchar,5,[00001-99999],Control
V_SEL,Vivienda seleccionada,Varchar,1,[1-9],Vivienda seleccionada
N_HOG,Número de hogar,Varchar,1,[1-9],Número de hogar
AGEB,AGEB,Varchar,5,[0001-9999],AGEB
UPM,Unidad primaria de muestreo,Varchar,7,[0000001-9999999],Unidad primaria de muestreo
PRO_VIV,Número progresivo de vivienda,Varchar,4,[0001-9999],Número progresivo de vivienda
R_PRE,Resultado preliminar,Varchar,2,[01-08],Resultado preliminar
,,,,01,Entrevista completa
,,,,02,Entrevista incompleta
,,,,03,No hay persona elegible
,,,,04,Informante inadecuado
,,,,05,Ausencia de ocupantes
,,,,06,Negativa
,,,,07,Vivienda deshabitada o de uso temporal
,,,,08,Otra situación
FCH_PRE,Fecha preliminar,Varchar,10,Texto,Fecha preliminar
R_DEF,Resudltado definitivo,Varchar,2,[01-08],Resultado definitivo
,,,,01,Entrevista completa
,,,,02,Entrevista incompleta
,,,,03,No hay persona elegible
,,,,04,Informante inadecuado
,,,,05,Ausencia de ocupantes
,,,,06,Negativa
,,,,07,Vivienda deshabitada o de uso temporal
,,,,08,Otra situación
FCH_DEF,Fecha definitiva,Varchar,10,Texto,Fecha definitiva
P1,Número de personas,Int,2,[1-99],Número de personas
P2,Gasto común,Int,1,[1-2],Gasto común
,,,,1,Sí
,,,,2,No
P3,Número de personas,Int,2,[1-6],Número de hogares
P4,Hogar principal,Int,2,[1-30],Hogar principal
R_INF,Renglón del informante,Varchar,2,[01-99],Renglón del informante
R_ELE,Renglón del elegido,Varchar,2,[01-99],Renglón del elegido
FAC,Factor de expansión,Int,6,[1-999999],Factor de expansión
